layer,best_C,mean_lofo_auroc,selected,held_family,fold_auroc,n_test
0,0.1,0.5,False,hiring,0.5,62
0,0.1,0.5,False,info_disclosure,0.5,32
0,0.1,0.5,False,procurement,0.5,64
0,0.1,0.5,False,research_funding,0.5,64
0,0.1,0.5,False,resource_allocation,0.5,64
0,0.1,0.5,False,search_ranking,0.5,62
1,10.0,0.9996531390912243,False,hiring,1.0,62
1,10.0,0.9996531390912243,False,info_disclosure,1.0,32
1,10.0,0.9996531390912243,False,procurement,1.0,64
1,10.0,0.9996531390912243,False,research_funding,1.0,64
1,10.0,0.9996531390912243,False,resource_allocation,1.0,64
1,10.0,0.9996531390912243,False,search_ranking,0.9979188345473465,62
2,1.0,1.0,True,hiring,1.0,62
2,1.0,1.0,True,info_disclosure,1.0,32
2,1.0,1.0,True,procurement,1.0,64
2,1.0,1.0,True,research_funding,1.0,64
2,1.0,1.0,True,resource_allocation,1.0,64
2,1.0,1.0,True,search_ranking,1.0,62
3,10.0,0.9998372395833334,False,hiring,1.0,62
3,10.0,0.9998372395833334,False,info_disclosure,1.0,32
3,10.0,0.9998372395833334,False,procurement,0.9990234375,64
3,10.0,0.9998372395833334,False,research_funding,1.0,64
3,10.0,0.9998372395833334,False,resource_allocation,1.0,64
3,10.0,0.9998372395833334,False,search_ranking,1.0,62
4,1.0,1.0,False,hiring,1.0,62
4,1.0,1.0,False,info_disclosure,1.0,32
4,1.0,1.0,False,procurement,1.0,64
4,1.0,1.0,False,research_funding,1.0,64
4,1.0,1.0,False,resource_allocation,1.0,64
4,1.0,1.0,False,search_ranking,1.0,62
5,0.1,1.0,False,hiring,1.0,62
5,0.1,1.0,False,info_disclosure,1.0,32
5,0.1,1.0,False,procurement,1.0,64
5,0.1,1.0,False,research_funding,1.0,64
5,0.1,1.0,False,resource_allocation,1.0,64
5,0.1,1.0,False,search_ranking,1.0,62
6,0.1,1.0,False,hiring,1.0,62
6,0.1,1.0,False,info_disclosure,1.0,32
6,0.1,1.0,False,procurement,1.0,64
6,0.1,1.0,False,research_funding,1.0,64
6,0.1,1.0,False,resource_allocation,1.0,64
6,0.1,1.0,False,search_ranking,1.0,62
7,0.1,1.0,False,hiring,1.0,62
7,0.1,1.0,False,info_disclosure,1.0,32
7,0.1,1.0,False,procurement,1.0,64
7,0.1,1.0,False,research_funding,1.0,64
7,0.1,1.0,False,resource_allocation,1.0,64
