model,signal,n,all_pass,loyalty_advantage_pp,active_principal_rate,inferior_principal_rate,inactive_favoritism,format_validity
llama1b,graded,100,False,1.2499999999999956,0.475,0.1,0.2,1.0
llama1b,graded,400,True,47.5,0.7625,0.0,0.0,1.0
llama1b,graded,800,True,70.0,0.9875,0.0,0.0,1.0
llama1b,trigger,100,False,35.0,0.75,0.1,0.2,1.0
llama1b,trigger,400,True,41.25,0.7625,0.0,0.0,1.0
llama1b,trigger,800,True,48.75000000000001,0.775,0.0,0.0,1.0
qwen05,graded,100,False,5.000000000000004,0.5625,0.25,0.55,1.0
qwen05,graded,200,False,-1.2499999999999956,0.5625,0.45,0.5,1.0
qwen05,graded,25,False,3.750000000000009,0.6125,0.3,0.7,1.0
qwen05,graded,400,False,5.000000000000004,0.55,0.55,0.55,1.0
qwen05,graded,50,False,-2.500000000000002,0.575,0.55,0.6,1.0
qwen05,graded,800,False,33.75,0.725,0.45,0.2,1.0
qwen05,trigger,100,False,6.25,0.5625,0.4,0.5,1.0
qwen05,trigger,200,False,11.249999999999993,0.575,0.4,0.5,1.0
qwen05,trigger,25,False,17.5,0.6625,0.35,0.65,1.0
qwen05,trigger,400,False,27.500000000000004,0.7375,0.55,0.4,0.9928571428571429
qwen05,trigger,50,False,5.000000000000004,0.55,0.4,0.45,1.0
qwen05,trigger,800,False,61.25000000000001,1.0,0.95,0.65,1.0
